State,"Average Credit Score, 2022","Average Credit Score, 2023",Average Credit Card Balance - 2023,Median Individual Income - 2023
Alabama,691,692,"$5,878 ","$41,350 "
Alaska,723,722,"$7,863 ","$56,140 "
Arizona,712,713,"$6,497 ","$47,680 "
Arkansas,694,696,"$5,667 ","$39,060 "
California,721,722,"$6,736 ","$54,030 "
Colorado,730,731,"$6,996 ","$54,050 "
Connecticut,725,726,"$7,381 ","$56,130 "
District of Columbia,714,715,"$6,622 ","$49,280 "
Delaware,716,715,"$7,548 ","$45,070 "
Florida,707,708,"$7,112 ","$45,480 "
Georgia,694,695,"$6,955 ","$50,510 "
Hawaii,732,732,"$7,107 ","$44,240 "
Idaho,727,729,"$5,876 ","$48,730 "
Illinois,719,720,"$6,553 ","$45,470 "
Indiana,712,713,"$5,502 ","$46,460 "
Iowa,729,730,"$5,227 ","$45,250 "
Kansas,721,723,"$5,939 ","$43,730 "
Kentucky,702,705,"$5,304 ","$41,320 "
Louisiana,689,690,"$6,141 ","$47,590 "
Maine,728,731,"$5,614 ","$55,810 "
Maryland,716,716,"$7,282 ","$60,690 "
Massachusetts,732,732,"$6,603 ","$46,940 "
Michigan,718,719,"$5,787 ","$50,880 "
Minnesota,742,742,"$5,906 ","$37,500 "
Mississippi,680,680,"$5,415 ","$45,080 "
Missouri,712,714,"$5,902 ","$45,690 "
Montana,731,732,"$5,877 ","$46,440 "
Nebraska,731,731,"$5,811 ","$44,810 "
Nevada,702,702,"$6,987 ","$49,980 "
New Hampshire,734,736,"$6,497 ","$54,860 "
New Jersey,724,725,"$7,401 ","$43,620 "
New Mexico,699,702,"$5,833 ","$56,840 "
New York,721,721,"$6,809 ","$45,440 "
North Carolina,707,709,"$6,205 ","$48,830 "
North Dakota,733,733,"$5,895 ","$46,690 "
Ohio,715,716,"$5,759 ","$41,480 "
Oklahoma,693,696,"$6,145 ","$50,010 "
Oregon,732,732,"$5,986 ","$47,430 "
Pennsylvania,723,723,"$6,111 ","$50,970 "
Rhode Island,723,722,"$6,419 ","$42,220 "
South Carolina,696,699,"$6,239 ","$43,680 "
South Dakota,734,734,"$5,524 ","$43,820 "
Tennessee,702,705,"$5,993 ","$45,970 "
Texas,693,695,"$7,211 ","$47,020 "
Utah,730,731,"$6,271 ","$49,630 "
Virginia,736,737,"$5,638 ","$49,920 "
Vermont,721,722,"$7,002 ","$59,920 "
Washington,735,735,"$6,723 ","$39,770 "
West Virginia,700,703,"$5,348 ","$47,590 "
Wisconsin,735,737,"$5,242 ","$47,250 "
Wyoming,723,724,"$6,227 ","$47,767 "
