State,2024,2025,Change (Points)
Alaska,722,720,-2
Alabama,692,689,-3
Arkansas,695,693,-2
Arizona,712,709,-3
California,722,721,-1
Colorado,731,729,-2
Connecticut,726,724,-2
District of Columbia,715,711,-4
Delaware,714,713,-1
Florida,707,704,-3
Georgia,695,692,-3
Hawaii,732,730,-2
Iowa,730,728,-2
Idaho,730,729,-1
Illinois,720,720,0
Indiana,712,710,-2
Kansas,722,720,-2
Kentucky,705,704,-1
Louisiana,690,686,-4
Massachusetts,732,731,-1
Maryland,715,714,-1
Maine,731,731,0
Michigan,719,717,-2
Minnesota,742,741,-1
Missouri,714,712,-2
Mississippi,680,677,-3
Montana,732,730,-2
North Carolina,709,707,-2
North Dakota,733,730,-3
Nebraska,731,728,-3
New Hampshire,736,735,-1
New Jersey,724,722,-2
New Mexico,702,701,-1
Nevada,701,699,-2
New York,721,719,-2
Ohio,716,713,-3
Oklahoma,696,693,-3
Oregon,732,730,-2
Pennsylvania,722,720,-2
Rhode Island,721,719,-2
South Carolina,700,699,-1
South Dakota,734,731,-3
Tennessee,706,703,-3
Texas,695,692,-3
Utah,730,728,-2
Virginia,723,721,-2
Vermont,737,737,0
Washington,735,734,-1
Wisconsin,738,737,-1
West Virginia,702,699,-3
Wyoming,725,722,-3
